Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
2550000,1.2639848,-0.4785145591308027,121.81818181818181,6.0,0.20365392,0.0567764,-0.47851463610475714,0.11965386010971005,0.023361497,0.10146889,0.00022365342,0.02954206,0.31821793
2560000,1.2680726,-0.3688185741426423,106.8,6.0,0.08032522,0.049978614,-0.36881862580776215,0.08517086799256504,0.009156668,0.09818067,0.00022336906,0.02003808,0.3183038
2570000,1.2570431,0.7807957718355788,213.0,6.0,0.106379196,0.04857285,0.780795712230934,0.1097130729790984,0.0068648756,0.096008874,0.00022305171,0.027873829,0.28148612
2580000,1.2693794,0.6396983677396295,236.54545454545453,6.0,0.11339966,0.04976486,0.6396983371753154,0.17932643365665255,0.014677478,0.096653245,0.0002227338,0.03675217,0.3382942
2590000,1.2461553,0.8058663133609419,129.83333333333334,6.0,0.15218808,0.043331895,0.8058662315209707,0.14511560768975565,0.007126856,0.10098347,0.00022245228,0.035126954,0.30233327
2600000,1.2371255,0.3261295578183005,183.44444444444446,6.0,0.03400137,0.04540622,0.3261294729179806,0.23246366096039614,0.019708216,0.09851982,0.00022217103,0.03193609,0.3195119
2610000,1.268502,0.9498587530952963,125.72727272727273,6.0,0.08890572,0.04779414,0.949858692559329,0.10516353271139617,0.012121051,0.10158148,0.00022185934,0.028126737,0.3514669
2620000,1.2596873,1.2022912277840079,119.5,6.0,0.12541409,0.049603414,1.2022911489009858,0.11473553110845387,0.012353036,0.09560512,0.00022154444,0.03071493,0.32893747
2630000,1.2505618,1.362585339229554,114.4,6.0,0.13225351,0.049187545,1.362585261464119,0.10810306444764137,0.012158495,0.09463954,0.00022126077,0.029320693,0.33136657
2640000,1.2457341,2.5555903426275752,291.8181818181818,6.0,0.18512407,0.056838673,2.5555902532137007,0.2319202855949036,0.02954333,0.09529262,0.00022097424,0.030314276,0.3252264
2650000,1.2416643,1.1652646189612492,829.3571428571429,6.0,0.20041674,0.058891907,1.1652645953291763,0.3947609076858498,0.019551314,0.098704256,0.00022065842,0.033610474,0.34981996
2660000,1.2285757,1.0679429474076845,182.66666666666666,6.0,0.1759996,0.07419248,1.0679428726431779,0.18739881387187374,0.020121599,0.09306678,0.00022034571,0.032736726,0.35646528
2670000,1.2641021,2.1855952459668586,151.33333333333334,6.0,0.23138244,0.08394598,2.1855951878900566,0.17861294653266668,0.022903413,0.09885104,0.00022005728,0.03299543,0.34445268
2680000,1.25344,0.3036325637044178,177.22222222222223,6.0,0.15208523,0.07812966,0.3036324779192607,0.19591504418187672,0.02520606,0.10001017,0.00021977548,0.030404037,0.41119877
2690000,1.2627949,1.7213806630267452,130.66666666666666,6.0,0.11425939,0.062208265,1.7213805317878723,0.12656261213123798,0.005890462,0.096556604,0.0002194638,0.02684316,0.35125327
2700000,1.256587,0.20009865993633866,158.6,6.0,0.079395525,0.056147162,0.20009862184524535,0.16234328183345498,0.011187281,0.09232241,0.00021915189,0.025549885,0.3588658
